
Nr., CODE, ENDGÜLTIGE BEZEICHNUNGEN DER MEDIZINISCHEN LEISTUNGEN
4840,X678605,ΛΑΠΑΡΟΣΚΟΠΗΣΗ ΧΕΙΡΟΥΡΓΙΚΗ ΜΕ ΠΑΡΟΧΕΤΕΥΣΗ ΛΕΜΦΟΚΗΛΗΣ ΣΤΗΝ ΠΕΡΙΤΟΝΑΪΚΗ ΚΟΙΛΟΤΗΤΑ
4841,X678607,ΛΑΠΑΡΟΣΚΟΠΗΣΗ ΧΕΙΡΟΥΡΓΙΚΗ ΜΕ ΕΙΣΑΓΩΓΗ ΕΝΔΟΠΕΡΙΤΟΝΑΪΚΟΥ ΣΩΛΗΝΑ Ή ΚΑΘΕΤΗΡΑ ΜΟΝΙΜΟΥ
4842,X678609,ΛΑΠΑΡΟΣΚΟΠΗΣΗ ΧΕΙΡΟΥΡΓΙΚΗ ΜΕ ΑΝΑΘΕΩΡΗΣΗ ΠΡΟΗΓΟΥΜΕΝΩΣ ΤΟΠΟΘΕΤΗΜΕΝΟΥ ΕΝΔΟΠΕΡΙΤΟΝΑΪΚΟΥ ΣΩΛΗΝΑ Ή ΚΑΘΕΤΗΡΑ ΜΕ ΑΦΑΙΡΕΣΗ ΤΟΥ ΕΝΔΟΑΥΛΙΚΟΥ ΑΠΟΦΡΑΣΣΟΝΤΟΣ ΥΛΙΚΟΥ. ΕΑΝ ΕΚΤΕΛΕΙΤΑΙ
4843,X678611,ΛΑΠΑΡΟΣΚΟΠΗΣΗ ΧΕΙΡΟΥΡΓΙΚΗ ΜΕ ΕΠΙΠΛΟΟΠΗΞΙΑ (ΔΙΑΔΙΚΑΣΙΑ ΚΑΘΗΛΩΣΗΣ ΤΟΥ ΕΠΙΠΛΟΟΥ) (ΝΑ ΚΑΤΑΓΡΑΦΕΤΑΙ ΞΕΧΩΡΙΣΤΑ ΕΠΙΠΛΕΟΝ ΤΟΥ ΚΩΔΙΚΟΥ ΤΗΣ ΑΡΧΙΚΗΣ ΔΙΑΔΙΚΑΣΙΑΣ)
4844,X678617,ΜΗ ΚΑΤΑΓΕΓΡΑΜΜΕΝΗ ΛΑΠΑΡΟΣΚΟΠΙΚΗ ΔΙΑΔΙΚΑΣΙΑ ΚΟΙΛΙΑ ΠΕΡΙΤΟΝΑΙΟ ΚΑΙ ΕΠΙΠΛΟΥΝ
4845,X678759,ΕΓΧΥΣΗ ΑΕΡΑ Ή ΥΛΙΚΟΥ ΑΝΤΙΘΕΣΗΣ ΣΤΗΝ ΠΕΡΙΤΟΝΑΪΚΗ ΚΟΙΛΟΤΗΤΑ (ΞΕΧΩΡΙΣΤΗ ΔΙΑΔΙΚΑΣΙΑ)
4846,X678763,ΑΦΑΙΡΕΣΗ ΠΕΡΙΤΟΝΑΪΚΟΥ ΞΕΝΟΥ ΣΩΜΑΤΟΣ ΑΠΟ ΤΗΝ ΠΕΡΙΤΟΝΑΪΚΗ ΚΟΙΛΟΤΗΤΑ
4847,X678797,ΕΙΣΑΓΩΓΗ ΕΝΔΟΠΕΡΙΤΟΝΑΪΚΟΥ ΣΩΛΗΝΑ Ή ΚΑΘΕΤΗΡΑ ΜΕ ΥΠΟΔΟΡΙΑ ΔΕΞΑΜΕΝΗ ΜΟΝΙΜΗ (ΔΗΛ. ΠΛΗΡΩΣ ΕΜΦΥΤΕΥΣΙΜΗ)
4848,X678799,ΕΙΣΑΓΩΓΗ ΕΝΔΟΠΕΡΙΤΟΝΑΪΚΟΥ ΣΩΛΗΝΑ Ή ΚΑΘΕΤΗΡΑ ΓΙΑ ΠΑΡΟΧΕΤΕΥΣΗ Ή ΑΙΜΟΚΑΘΑΡΣΗ Ή ΠΕΡΙΤΟΝΑΪΚΗ ΚΑΘΑΡΣΗ ΠΡΟΣΩΡΙΝΗ
4849,X678801,ΕΙΣΑΓΩΓΗ ΕΝΔΟΠΕΡΙΤΟΝΑΪΚΟΥ ΣΩΛΗΝΑ Ή ΚΑΘΕΤΗΡΑ ΓΙΑ ΠΑΡΟΧΕΤΕΥΣΗ Ή ΑΙΜΟΚΑΘΑΡΣΗ Ή ΠΕΡΙΤΟΝΑΪΚΗ ΚΑΘΑΡΣΗ ΜΟΝΙΜΗ
4850,X678803,ΑΦΑΙΡΕΣΗ ΤΟΥ ΜΟΝΙΜΟΥ ΕΝΔΟΠΕΡΙΤΟΝΑΪΚΟΥ ΣΩΛΗΝΑ Ή ΚΑΘΕΤΗΡΑ
4851,X678805,ΑΛΛΑΓΗ ΠΡΟΗΓΟΥΜΕΝΩΣ ΤΟΠΟΘΕΤΗΜΕΝΟΥ ΚΑΘΕΤΗΡΑ ΠΑΡΟΧΕΤΕΥΣΗΣ ΑΠΟΣΤΗΜΑΤΟΣ Ή ΚΥΣΤΗΣ ΥΠΟ ΑΚΤΙΝΟΛΟΓΙΚΗ ΚΑΘΟΔΗΓΗΣΗ (ΞΕΧΩΡΙΣΤΗ ΔΙΑΔΙΚΑΣΙΑ)
4852,X678807,ΕΓΧΥΣΗ ΥΛΙΚΟΥ ΑΝΤΙΘΕΣΗΣ ΓΙΑ ΤΗΝ ΕΚΤΙΜΗΣΗ ΑΠΟΣΤΗΜΑΤΟΣ Ή ΚΥΣΤΗΣ ΜΕΣΩ ΠΡΟΗΓΟΥΜΕΝΩΣ ΤΟΠΟΘΕΤΗΜΕΝΟΥ ΚΑΘΕΤΗΡΑ Ή ΣΩΛΗΝΑ ΠΑΡΟΧΕΤΕΥΣΗΣ (ΞΕΧΩΡΙΣΤΗ ΔΙΑΔΙΚΑΣΙΑ)
4853,X678809,ΕΙΣΑΓΩΓΗ ΠΕΡΙΤΟΝΑΪΚΗΣ-ΦΛΕΒΙΚΗΣ ΠΑΡΑΚΑΜΨΗΣ
4854,X678811,ΑΝΑΘΕΩΡΗΣΗ ΠΕΡΙΤΟΝΑΪΚΗΣ-ΦΛΕΒΙΚΗΣ ΠΑΡΑΚΑΜΨΗΣ
4855,X678813,ΔΙΑΔΙΚΑΣΙΑ ΕΓΧΥΣΗΣ (Π.Χ. ΥΛΙΚΟΥ ΑΝΤΙΘΕΣΗΣ) ΓΙΑ ΤΗΝ ΑΞΙΟΛΟΓΗΣΗ ΤΗΣ ΠΡΟΗΓΟΥΜΕΝΩΣ ΤΟΠΟΘΕΤΗΜΕΝΗΣ ΠΕΡΙΤΟΝΑΪΚΗΣ-ΦΛΕΒΙΚΗΣ ΠΑΡΑΚΑΜΨΗΣ
4856,X678815,ΑΠΟΛΙΝΩΣΗ ΠΕΡΙΤΟΝΑΪΚΗΣ-ΦΛΕΒΙΚΗΣ ΠΑΡΑΚΑΜΨΗΣ
4857,X678817,ΑΦΑΙΡΕΣΗ ΠΕΡΙΤΟΝΑΪΚΗΣ-ΦΛΕΒΙΚΗΣ ΠΑΡΑΚΑΜΨΗΣ
4858,X678829,ΕΙΣΑΓΩΓΗ ΥΠΟΔΟΡΙΑΣ ΕΠΕΚΤΑΣΗΣ ΤΟΥ ΕΝΔΟΠΕΡΙΤΟΝΑΪΚΟΥ ΣΩΛΗΝΑ Ή  ΚΑΘΕΤΗΡΑ ΜΕ ΑΠΟΜΑΚΡΥΣΜΕΝΟ ΣΗΜΕΙΟ ΕΞΟΔΟΥ ΣΤΟΝ ΘΩΡΑΚΑ (ΝΑ ΚΑΤΑΓΡΑΦΕΤΑΙ ΞΕΧΩΡΙΣΤΑ ΕΠΙΠΛΕΟΝ ΤΟΥ ΚΩΔΙΚΟΥ ΤΗΣ ΑΡΧΙΚΗΣ ΔΙΑΔΙΚΑΣΙΑΣ)
4859,X678831,ΣΕ ΔΕΥΤΕΡΟ ΧΡΟΝΟ ΔΗΜΙΟΥΡΓΙΑ ΣΗΜΕΙΟΥ ΕΞΟΔΟΥ ΑΠΟ ΕΜΦΥΤΕΥΜΕΝΟ ΥΠΟΔΟΡΙΟ ΤΜΗΜΑ ΤΟΥ ΕΝΔΟΠΕΡΙΤΟΝΑΪΚΟΥ ΣΩΛΗΝΑ Ή ΚΑΘΕΤΗΡΑ
4860,X678839,ΕΙΣΑΓΩΓΗ ΣΩΛΗΝΑ ΓΑΣΤΡΟΣΤΟΜΙΑΣ ΔΙΑΔΕΡΜΙΚΑ ΥΠΟ ΑΚΤΙΝΟΣΚΟΠΙΚΗ ΚΑΘΟΔΗΓΗΣΗ ΠΟΥ ΠΕΡΙΛΑΜΒΑΝΕΙ ΕΓΧΥΣΗ(ΕΙΣ) ΥΛΙΚΟΥ ΑΝΤΙΘΕΣΗΣ ΤΕΚΜΗΡΙΩΣΗ ΕΙΚΟΝΑΣ ΚΑΙ ΑΝΑΦΟΡΑ
4861,X678841,ΕΙΣΑΓΩΓΗ ΣΩΛΗΝΑ ΔΩΔΕΚΑΔΑΚΤΥΛΟΣΤΟΜΙΑΣ Ή ΝΗΣΤΙΔΟΣΤΟΜΙΑΣ ΔΙΑΔΕΡΜΙΚΑ ΥΠΟ ΑΚΤΙΝΟΣΚΟΠΙΚΗ ΚΑΘΟΔΗΓΗΣΗ ΠΟΥ ΠΕΡΙΛΑΜΒΑΝΕΙ ΕΓΧΥΣΗ(ΕΙΣ) ΥΛΙΚΟΥ ΑΝΤΙΘΕΣΗΣ ΤΕΚΜΗΡΙΩΣΗ ΕΙΚΟΝΑΣ ΚΑΙ ΑΝΑΦΟΡΑ
4862,X678843,ΕΙΣΑΓΩΓΗ ΣΩΛΗΝΑ ΤΥΦΛΟΣΤΟΜΙΑΣ Ή ΑΛΛΟΥ ΣΩΛΗΝΑ ΠΑΧΕΟΣ ΕΝΤΕΡΟΥ ΔΙΑΔΕΡΜΙΚΑ ΥΠΟ ΑΚΤΙΝΟΣΚΟΠΙΚΗ ΚΑΘΟΔΗΓΗΣΗ ΠΟΥ ΠΕΡΙΛΑΜΒΑΝΕΙ ΕΓΧΥΣΗ(ΕΙΣ) ΥΛΙΚΟΥ ΑΝΤΙΘΕΣΗΣ ΤΕΚΜΗΡΙΩΣΗ ΕΙΚΟΝΑΣ ΚΑΙ ΑΝΑΦΟΡΑ
4863,X678851,ΜΕΤΑΤΡΟΠΗ ΤΟΥ ΣΩΛΗΝΑ ΓΑΣΤΡΟΣΤΟΜΙΑΣ ΣΕ ΣΩΛΗΝΑ ΓΑΣΤΡΟ-ΝΗΣΤΙΔΟΣΤΟΜΙΑΣ ΔΙΑΔΕΡΜΙΚΑ ΥΠΟ ΑΚΤΙΝΟΣΚΟΠΙΚΗ ΚΑΘΟΔΗΓΗΣΗ ΠΟΥ ΠΕΡΙΛΑΜΒΑΝΕΙ ΕΓΧΥΣΗ(ΕΙΣ) ΥΛΙΚΟΥ ΑΝΤΙΘΕΣΗΣ ΤΕΚΜΗΡΙΩΣΗ ΕΙΚΟΝΑΣ ΚΑΙ ΑΝΑΦΟΡΑ
4864,X678859,ΑΝΤΙΚΑΤΑΣΤΑΣΗ ΤΟΥ ΣΩΛΗΝΑ ΓΑΣΤΡΟΣΤΟΜΙΑΣ Ή ΤΥΦΛΟΣΤΟΜΙΑΣ (Ή ΑΛΛΟΥ ΣΩΛΗΝΑ ΤΟΥ ΠΑΧΕΟΣ ΕΝΤΕΡΟΥ) ΔΙΑΔΕΡΜΙΚΑ ΥΠΟ ΑΚΤΙΝΟΣΚΟΠΙΚΗ ΚΑΘΟΔΗΓΗΣΗ ΠΟΥ ΠΕΡΙΛΑΜΒΑΝΕΙ ΕΓΧΥΣΗ(ΕΙΣ) ΥΛΙΚΟΥ ΑΝΤΙΘΕΣΗΣ ΤΕΚΜΗΡΙΩΣΗ ΕΙΚΟΝΑΣ ΚΑΙ ΑΝΑΦΟΡΑ
4865,X678861,ΑΝΤΙΚΑΤΑΣΤΑΣΗ ΣΩΛΗΝΑ ΔΩΔΕΚΑΔΑΚΤΥΛΟΣΤΟΜΙΑΣ Ή ΝΗΣΤΙΔΟΣΤΟΜΙΑΣ ΔΙΑΔΕΡΜΙΚΑ ΥΠΟ ΑΚΤΙΝΟΣΚΟΠΙΚΗ ΚΑΘΟΔΗΓΗΣΗ ΠΟΥ ΠΕΡΙΛΑΜΒΑΝΕΙ ΕΓΧΥΣΗ(ΕΙΣ) ΥΛΙΚΟΥ ΑΝΤΙΘΕΣΗΣ ΤΕΚΜΗΡΙΩΣΗ ΕΙΚΟΝΑΣ ΚΑΙ ΑΝΑΦΟΡΑ
4866,X678863,ΑΝΤΙΚΑΤΑΣΤΑΣΗ  ΣΩΛΗΝΑ ΓΑΣΤΡΟ-ΝΗΣΤΙΔΟΣΤΟΜΙΑΣ ΔΙΑΔΕΡΜΙΚΑ ΥΠΟ ΑΚΤΙΝΟΣΚΟΠΙΚΗ ΚΑΘΟΔΗΓΗΣΗ ΠΟΥ ΠΕΡΙΛΑΜΒΑΝΕΙ ΕΓΧΥΣΗ(ΕΙΣ) ΥΛΙΚΟΥ ΑΝΤΙΘΕΣΗΣ ΤΕΚΜΗΡΙΩΣΗ ΕΙΚΟΝΑΣ ΚΑΙ ΑΝΑΦΟΡΑ
4867,X678879,ΜΗΧΑΝΙΚΗ ΑΠΟΜΑΚΡΥΝΣΗ ΑΠΟΦΡΑΣΣΟΝΤΟΣ ΥΛΙΚΟΥ ΑΠΟ ΤΟ ΣΩΛΗΝΑ ΓΑΣΤΡΟΣΤΟΜΙΑΣ ΔΩΔΕΚΑΔΑΚΤΥΛΟΣΤΟΜΙΑΣ ΝΗΣΤΙΔΟΣΤΟΜΙΑΣ ΓΑΣΤΡΟ-ΝΗΣΤΙΔΟΣΤΟΜΙΑΣ Ή ΤΥΦΛΟΣΤΟΜΙΑΣ (Ή ΑΛΛΟ ΣΩΛΗΝΑ ΠΑΧΕΟΣ ΕΝΤΕΡΟΥ) ΜΕ ΟΠΟΙΑΔΗΠΟΤΕ ΜΕΘΟΔΟ ΥΠΟ ΑΚΤΙΝΟΣΚΟΠΙΚΗ ΚΑΘΟΔΗΓΗΣΗ ΠΟΥ ΠΕΡΙΛΑΜΒΑΝΕΙ  ΕΓΧΥΣΗ(ΕΙΣ) ΥΛΙΚΟΥ ΑΝΤΙΘΕΣΗΣ ΕΑΝ ΠΡΑΓΜΑΤΟΠΟΙΟΕΙΤΑΙ ΤΕΚΜΗΡΙΩΣΗ ΕΙΚΟΝΑΣ ΚΑΙ ΑΝΑΦΟΡΑ
4868,X678889,ΕΓΧΥΣΗ(ΕΙΣ) ΥΛΙΚΟΥ ΑΝΤΙΘΕΣΗΣ ΓΙΑ ΑΚΤΙΝΟΛΟΓΙΚΗ ΑΞΙΟΛΟΓΗΣΗ ΥΠΑΡΧΟΝΤΟΣ ΣΩΛΗΝΑ ΓΑΣΤΡΟΣΤΟΜΙΑΣ ΔΩΔΕΚΑΔΑΚΤΥΛΟΣΤΟΜΙΑΣ ΝΗΣΤΙΔΟΣΤΟΜΙΑΣ ΓΑΣΤΡΟ-ΝΗΣΤΙΔΟΣΤΟΜΙΑΣ Ή  ΤΥΦΛΟΣΤΟΜΙΑΣ (Ή ΑΛΛΟΥ ΣΩΛΗΝΑ ΠΑΧΕΟΣ ΕΝΤΕΡΟΥ) ΜΕΣΩ ΔΙΑΔΕΡΜΙΚΗΣ ΠΡΟΣΕΓΓΙΣΗΣ ΠΟΥ ΠΕΡΙΛΑΜΒΑΝΕΙ ΤΕΚΜΗΡΙΩΣΗ ΕΙΚΟΝΑΣ ΚΑΙ ΑΝΑΦΟΡΑ
4869,X678941,ΑΠΟΚΑΤΑΣΤΑΣΗ ΑΡΧΙΚΗΣ ΒΟΥΒΩΝΟΚΗΛΗΣ ΠΡΟΩΡΟ ΝΕΟΓΝΟ (ΛΙΓΟΤΕΡΟ ΑΠΟ 37 ΕΒΔΟΜΑΔΕΣ ΚΥΗΣΗΣ ΚΑΤΑ ΤΗ ΓΕΝΝΗΣΗ) ΠΟΥ ΠΡΑΓΜΑΤΟΠΟΙΕΙΤΑΙ ΑΠΟ ΤΗ ΓΕΝΝΗΣΗ ΕΩΣ 50 ΕΒΔΟΜΑΔΕΣ ΜΕΤΑ ΤΗ ΣΥΛΛΗΨΗ ΜΕ Ή ΧΩΡΙΣ ΕΚΤΟΜΗ ΥΔΡΟΚΗΛΗΣ ΑΝΑΤΑΞΙΜΗ
4870,X678943,ΑΠΟΚΑΤΑΣΤΑΣΗ ΑΡΧΙΚΗΣ ΒΟΥΒΩΝΟΚΗΛΗΣ ΠΡΟΩΡΟ ΝΕΟΓΝΟ (ΛΙΓΟΤΕΡΟ ΑΠΟ 37 ΕΒΔΟΜΑΔΕΣ ΚΥΗΣΗΣ ΚΑΤΑ ΤΗ ΓΕΝΝΗΣΗ) ΠΟΥ ΠΡΑΓΜΑΤΟΠΟΙΕΙΤΑΙ ΑΠΟ ΤΗ ΓΕΝΝΗΣΗ ΕΩΣ 50 ΕΒΔΟΜΑΔΕΣ ΜΕΤΑ ΤΗ ΣΥΛΛΗΨΗ ΜΕ Ή ΧΩΡΙΣ ΕΚΤΟΜΗ ΥΔΡΟΚΗΛΗΣ ΠΕΡΙΕΣΦΙΓΜΕΝΗ
4871,X678949,ΑΠΟΚΑΤΑΣΤΑΣΗ ΑΡΧΙΚΗΣ ΒΟΥΒΩΝΟΚΗΛΗΣ ΝΕΟΓΝΑ ΠΛΗΡΟΥΣ ΚΥΗΣΗΣ ΗΛΙΚΙΑΣ ΜΙΚΡΟΤΕΡΗΣ ΑΠΟ 6 ΜΗΝΕΣ Ή ΠΡΟΩΡΑ ΝΕΟΓΝΑ ΗΛΙΚΙΑΣ ΜΕΓΑΛΥΤΕΡΗΣ ΑΠΟ 50 ΕΒΔΟΜΑΔΕΣ ΑΠΟ ΤΗ ΣΥΛΛΗΨΗ ΚΑΙ  ΜΙΚΡΟΤΕΡΗΣ ΤΩΝ 6 ΜΗΝΩΝΣ ΚΑΤΑ ΤΟ ΧΡΟΝΟ ΤΗΣ ΕΓΧΕΙΡΗΣΗΣ ΜΕ Ή ΧΩΡΙΣ ΕΚΤΟΜΗ ΥΔΡΟΚΗΛΗΣ ΑΝΑΤΑΞΙΜΗ
4872,X678951,ΑΠΟΚΑΤΑΣΤΑΣΗ ΑΡΧΙΚΗΣ ΒΟΥΒΩΝΟΚΗΛΗΣ ΝΕΟΓΝΑ ΠΛΗΡΟΥΣ ΚΥΗΣΗΣ ΗΛΙΚΙΑΣ ΜΙΚΡΟΤΕΡΗΣ ΑΠΟ 6 ΜΗΝΕΣ Ή ΠΡΟΩΡΑ ΝΕΟΓΝΑ ΗΛΙΚΙΑΣ ΜΕΓΑΛΥΤΕΡΗΣ ΑΠΟ 50 ΕΒΔΟΜΑΔΕΣ ΑΠΟ ΤΗ ΣΥΛΛΗΨΗ ΚΑΙ  ΜΙΚΡΟΤΕΡΗΣ ΤΩΝ 6 ΜΗΝΩΝΣ ΚΑΤΑ ΤΟ ΧΡΟΝΟ ΤΗΣ ΕΓΧΕΙΡΗΣΗΣ ΜΕ Ή ΧΩΡΙΣ ΕΚΤΟΜΗ ΥΔΡΟΚΗΛΗΣ ΠΕΡΙΕΣΦΙΓΜΕΝΗ
4873,X678959,ΑΠΟΚΑΤΑΣΤΑΣΗ ΑΡΧΙΚΗΣ ΒΟΥΒΩΝΟΚΗΛΗΣ ΣΕ ΗΛΙΚΙΑ ΑΠΟ 6 ΜΗΝΕΣ ΕΩΣ ΜΙΚΡΟΤΕΡΗ ΑΠΟ 5 ΕΤΗ ΜΕ Ή ΧΩΡΙΣ ΕΚΤΟΜΗ ΥΔΡΟΚΗΛΗΣ ΑΝΑΤΑΞΙΜΗ
4874,X678961,ΑΠΟΚΑΤΑΣΤΑΣΗ ΑΡΧΙΚΗΣ ΒΟΥΒΩΝΟΚΗΛΗΣ ΣΕ ΗΛΙΚΙΑ ΑΠΟ 6 ΜΗΝΕΣ ΕΩΣ ΜΙΚΡΟΤΕΡΗ ΑΠΟ 5 ΕΤΗ ΜΕ Ή ΧΩΡΙΣ ΕΚΤΟΜΗ ΥΔΡΟΚΗΛΗΣ ΠΕΡΙΕΣΦΙΓΜΕΝΗ
4875,X678969,ΑΠΟΚΑΤΑΣΤΑΣΗ ΑΡΧΙΚΗΣ ΒΟΥΒΩΝΟΚΗΛΗΣ ΣΕ ΗΛΙΚΙΑ 5 ΕΤΩΝ Ή ΜΕΓΑΛΥΤΕΡΗ ΑΝΑΤΑΞΙΜΗ
4876,X678973,ΑΠΟΚΑΤΑΣΤΑΣΗ ΑΡΧΙΚΗΣ ΒΟΥΒΩΝΟΚΗΛΗΣ ΣΕ ΗΛΙΚΙΑ 5 ΕΤΩΝ Ή ΜΕΓΑΛΥΤΕΡΗ  ΠΕΡΙΕΣΦΙΓΜΕΝΗ
4877,X678999,ΑΠΟΚΑΤΑΣΤΑΣΗ ΥΠΟΤΡΟΠΙΑΖΟΥΣΑΣ ΒΟΥΒΩΝΟΚΗΛΗΣ ΣΕ ΟΠΟΙΑΔΗΠΟΤΕ ΗΛΙΚΙΑ ΑΝΑΤΑΞΙΜΗ
4878,X679001,ΑΠΟΚΑΤΑΣΤΑΣΗ ΥΠΟΤΡΟΠΙΑΖΟΥΣΑΣ ΒΟΥΒΩΝΟΚΗΛΗΣ ΣΕ ΟΠΟΙΑΔΗΠΟΤΕ ΗΛΙΚΙΑ ΠΕΡΙΕΣΦΙΓΜΕΝΗ
4879,X679009,ΑΠΟΚΑΤΑΣΤΑΣΗ ΑΡΧΙΚΗΣ ΒΟΥΒΩΝΟΚΗΛΗΣ ΤΥΠΟΥ ΚΑΤ' ΕΠΟΛΙΣΘΗΣΗΣ ΣΕ ΟΠΟΙΑΔΗΠΟΤΕ ΗΛΙΚΙΑ
4880,X679039,ΑΠΟΚΑΤΑΣΤΑΣΗ ΟΣΦΥΪΚΗΣ ΚΗΛΗΣ
4881,X679059,ΑΠΟΚΑΤΑΣΤΑΣΗ ΑΡΧΙΚΗΣ ΜΗΡΟΚΗΛΗΣ ΣΕ ΟΠΟΙΑΔΗΠΟΤΕ ΗΛΙΚΙΑ ΑΝΑΤΑΞΙΜΗ
4882,X679065,ΑΠΟΚΑΤΑΣΤΑΣΗ ΑΡΧΙΚΗΣ ΜΗΡΟΚΗΛΗΣ ΣΕ ΟΠΟΙΑΔΗΠΟΤΕ ΗΛΙΚΙΑ ΠΕΡΙΕΣΦΙΓΜΕΝΗ
4883,X679069,ΑΠΟΚΑΤΑΣΤΑΣΗ ΥΠΟΤΡΟΠΙΑΖΟΥΣΑΣ ΜΗΡΟΚΗΛΗΣ ΑΝΑΤΑΞΙΜΗ
4884,X679073,ΑΠΟΚΑΤΑΣΤΑΣΗ ΥΠΟΤΡΟΠΙΑΖΟΥΣΑΣ ΜΗΡΟΚΗΛΗΣ ΠΕΡΙΕΣΦΙΓΜΕΝΗ
4885,X679079,ΑΠΟΚΑΤΑΣΤΑΣΗ ΑΡΧΙΚΗΣ ΜΕΤΕΓΧΕΙΡΗΤΙΚΗΣ ΚΗΛΗΣ Ή ΚΟΙΛΙΟΚΗΛΗΣ ΑΝΑΤΑΞΙΜΗ
4886,X679081,ΑΠΟΚΑΤΑΣΤΑΣΗ ΑΡΧΙΚΗΣ ΜΕΤΕΓΧΕΙΡΗΤΙΚΗΣ ΚΗΛΗΣ Ή ΚΟΙΛΙΟΚΗΛΗΣ  ΠΕΡΙΕΣΦΙΓΜΕΝΗ
4887,X679089,ΑΠΟΚΑΤΑΣΤΑΣΗ ΥΠΟΤΡΟΠΙΑΖΟΥΣΑΣ ΜΕΤΕΓΧΕΙΡΗΤΙΚΗΣ ΚΗΛΗΣ Ή ΚΟΙΛΙΟΚΗΛΗΣ ΑΝΑΤΑΞΙΜΗ
4888,X679091,ΑΠΟΚΑΤΑΣΤΑΣΗ ΥΠΟΤΡΟΠΙΑΖΟΥΣΑΣ ΜΕΤΕΓΧΕΙΡΗΤΙΚΗΣ ΚΗΛΗΣ Ή ΚΟΙΛΙΟΚΗΛΗΣ  ΠΕΡΙΕΣΦΙΓΜΕΝΗ
4889,X679095,ΕΜΦΥΤΕΥΣΗ ΠΛΕΓΜΑΤΟΣ Ή ΑΛΛΟΥ ΠΡΟΣΘΕΤΙΚΟΥ ΥΛΙΚΟΥ ΓΙΑ ΑΝΟΙΚΤΗ ΑΠΟΚΑΤΑΣΤΑΣΗ ΜΕΤΕΓΧΕΙΡΗΤΙΚΗΣ ΚΗΛΗΣ Ή ΚΟΙΛΙΟΚΗΛΗΣ Ή ΠΛΕΓΜΑΤΟΣ ΓΙΑ ΣΥΓΚΛΕΙΣΗ ΧΕΙΡΟΥΡΓΙΚΟΥ ΚΑΘΑΡΙΣΜΟΥ ΣΕ ΝΕΚΡΩΤΙΚΕΣ ΛΟΙΜΩΞΕΙΣ  ΜΑΛΑΚΩΝ ΜΟΡΙΩΝ (ΝΑ ΚΑΤΑΓΡΑΦΕΤΑΙ ΞΕΧΩΡΙΣΤΑ ΕΠΙΠΛΕΟΝ ΤΟΥ ΚΩΔΙΚΟΥ ΓΙΑ ΤΗΝ  ΑΠΟΚΑΤΑΣΤΑΣΗ ΜΕΤΕΓΧΕΙΡΗΤΙΚΗΣ ΚΗΛΗΣ Ή ΚΟΙΛΙΟΚΗΛΗΣ)
4890,X679099,ΑΠΟΚΑΤΑΣΤΑΣΗ ΕΠΙΓΑΣΤΡΙΚΗΣ ΚΗΛΗΣ (Π.Χ. ΠΡΟΠΕΡΙΤΟΝΑΪΚΟ ΛΙΠΟΣ ΑΝΑΤΑΞΙΜΗ (ΞΕΧΩΡΙΣΤΗ ΔΙΑΔΙΚΑΣΙΑ)
4891,X679103,ΑΠΟΚΑΤΑΣΤΑΣΗ ΕΠΙΓΑΣΤΡΙΚΗΣ ΚΗΛΗΣ (Π.Χ. ΠΡΟΠΕΡΙΤΟΝΑΪΚΟ ΛΙΠΟΣ) ΠΕΡΙΕΣΦΙΣΜΕΝΗ
4892,X679119,ΑΠΟΚΑΤΑΣΤΑΣΗ ΟΜΦΑΛΟΚΗΛΗΣ ΗΛΙΚΙΑΣ ΜΙΚΡΟΤΕΡΗΣ ΑΠΟ 5 ΕΤΗ ΑΝΑΤΑΞΙΜΗ
4893,X679123,ΑΠΟΚΑΤΑΣΤΑΣΗ ΟΜΦΑΛΟΚΗΛΗΣ ΗΛΙΚΙΑΣ ΜΙΚΡΟΤΕΡΗΣ ΑΠΟ 5 ΕΤΗ ΠΕΡΙΕΣΦΙΣΜΕΝΗ
4894,X679129,ΑΠΟΚΑΤΑΣΤΑΣΗ ΟΜΦΑΛΟΚΗΛΗΣ ΣΕ ΗΛΙΚΙΑ 5 ΕΤΩΝ Ή ΜΕΓΑΛΥΤΕΡΗ ΑΝΑΤΑΞΙΜΗ
4895,X679133,ΑΠΟΚΑΤΑΣΤΑΣΗ ΟΜΦΑΛΟΚΗΛΗΣ ΣΕ ΗΛΙΚΙΑ 5 ΕΤΩΝ Ή ΜΕΓΑΛΥΤΕΡΗ ΠΕΡΙΕΣΦΙΣΜΕΝΗ
4896,X679139,ΑΠΟΚΑΤΑΣΤΑΣΗ ΚΗΛΗΣ ΤΟΥ SPIGEL
4897,X679159,ΑΠΟΚΑΤΑΣΤΑΣΗ ΜΙΚΡΗΣ ΟΜΦΑΛΟΚΗΛΗΣ ΜΕ ΠΡΩΤΟΓΕΝΗ ΣΥΓΚΛΕΙΣΗ
4898,X679169,ΑΠΟΚΑΤΑΣΤΑΣΗ ΜΕΓΑΛΗΣ ΟΜΦΑΛΟΚΗΛΗΣ Ή ΔΙΑΤΑΣΗΣ ΚΟΙΛΙΑΚΟΥ ΤΟΙΧΩΜΑΤΟΣ ΜΕ Ή ΧΩΡΙΣ ΠΡΟΣΘΕΤΙΚΟ ΥΛΙΚΟ
